source_match_id,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,total_goals,goal_difference,data_split
1901_02_23_scotland_northern_ireland_british_home_championship,1901-02-23,Scotland,Northern Ireland,11,0,British Home Championship,Glasgow,Scotland,FALSE,11,11,train
1919_06_26_france_greece_inter_allied_games,1919-06-26,France,Greece,11,0,Inter-Allied Games,Paris,France,FALSE,11,11,train
1938_02_16_panama_costa_rica_central_american_and_caribbean_games,1938-02-16,Panama,Costa Rica,0,11,Central American and Caribbean Games,Panama City,Panama,FALSE,11,-11,train
1948_08_06_norway_united_states_friendly,1948-08-06,Norway,United States,11,0,Friendly,Oslo,Norway,FALSE,11,11,train
1954_07_18_mauritius_r_union_friendly,1954-07-18,Mauritius,Réunion,11,0,Friendly,Curepipe,Mauritius,FALSE,11,11,train
1964_03_28_congo_chad_friendly,1964-03-28,Congo,Chad,11,0,Friendly,Brazzaville,Congo,FALSE,11,11,train
1969_08_18_fiji_new_caledonia_south_pacific_games,1969-08-18,Fiji,New Caledonia,0,11,South Pacific Games,Port Moresby,Papua New Guinea,TRUE,11,-11,train
1971_03_25_jersey_alderney_muratti_vase,1971-03-25,Jersey,Alderney,11,0,Muratti Vase,Jersey,Jersey,FALSE,11,11,train
1974_09_07_malaysia_philippines_asian_games,1974-09-07,Malaysia,Philippines,11,0,Asian Games,Tehran,Iran,TRUE,11,11,train
1975_08_04_guam_fiji_south_pacific_games,1975-08-04,Guam,Fiji,0,11,South Pacific Games,Tamuning,Guam,FALSE,11,-11,train
1975_08_10_argentina_venezuela_copa_am_rica,1975-08-10,Argentina,Venezuela,11,0,Copa América,Rosario,Argentina,FALSE,11,11,train
1979_09_03_new_caledonia_tuvalu_south_pacific_games,1979-09-03,New Caledonia,Tuvalu,11,0,South Pacific Games,Suva,Fiji,TRUE,11,11,train
1984_10_26_united_arab_emirates_nepal_afc_asian_cup_qualification,1984-10-26,United Arab Emirates,Nepal,11,0,AFC Asian Cup qualification,Jeddah,Saudi Arabia,TRUE,11,11,train
1989_04_23_trinidad_and_tobago_aruba_cfu_caribbean_cup_qualification,1989-04-23,Trinidad and Tobago,Aruba,11,0,CFU Caribbean Cup qualification,Arima,Trinidad and Tobago,FALSE,11,11,train
1992_12_06_mexico_saint_vincent_and_the_grenadines_fifa_world_cup_qualification,1992-12-06,Mexico,Saint Vincent and the Grenadines,11,0,FIFA World Cup qualification,Mexico City,Mexico,FALSE,11,11,train
1993_05_12_china_pr_macau_east_asian_games,1993-05-12,China PR,Macau,11,0,East Asian Games,Shanghai,China PR,FALSE,11,11,train
1993_12_07_tahiti_guam_south_pacific_mini_games,1993-12-07,Tahiti,Guam,11,0,South Pacific Mini Games,Port Vila,Vanuatu,TRUE,11,11,train
1993_12_13_new_caledonia_tonga_south_pacific_mini_games,1993-12-13,New Caledonia,Tonga,11,0,South Pacific Mini Games,Port Vila,Vanuatu,TRUE,11,11,train
1994_10_01_south_korea_nepal_asian_games,1994-10-01,South Korea,Nepal,11,0,Asian Games,Onomichi,Japan,TRUE,11,11,train
1995_08_22_tahiti_cook_islands_south_pacific_games,1995-08-22,Tahiti,Cook Islands,11,0,South Pacific Games,Papeete,Tahiti,FALSE,11,11,train
1998_12_01_mongolia_kuwait_asian_games,1998-12-01,Mongolia,Kuwait,0,11,Asian Games,Chiang Mai,Thailand,TRUE,11,-11,train
2000_01_23_vietnam_guam_afc_asian_cup_qualification,2000-01-23,Vietnam,Guam,11,0,AFC Asian Cup qualification,Hanoi,Vietnam,FALSE,11,11,train
2001_04_12_guadeloupe_united_states_virgin_islands_cfu_caribbean_cup_qualification,2001-04-12,Guadeloupe,United States Virgin Islands,11,0,CFU Caribbean Cup qualification,Port-au-Prince,Haiti,TRUE,11,11,train
2001_04_16_australia_samoa_fifa_world_cup_qualification,2001-04-16,Australia,Samoa,11,0,FIFA World Cup qualification,Coffs Harbour,Australia,FALSE,11,11,train
