path,source_guess,dataset_guess,raw_or_processed,file_type,rows,columns,date_min,date_max,n_teams,n_competitions,file_size_bytes,modified_time,notes
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3794686.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,10520554,2026-05-28 13:08:30.066621,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3794687.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,7589015,2026-05-28 13:08:30.698963,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3794688.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,6086068,2026-05-28 13:08:31.290045,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3794689.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,6523294,2026-05-28 13:08:32.112783,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3794690.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,5184532,2026-05-28 13:08:32.566336,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3794691.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,8819222,2026-05-28 13:08:33.587415,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3794692.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,9079811,2026-05-28 13:08:34.400487,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3795107.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,6829279,2026-05-28 13:08:35.607489,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3795108.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,11742547,2026-05-28 13:08:36.434467,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3795109.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,5329911,2026-05-28 13:08:36.769525,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3795187.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,8838376,2026-05-28 13:08:38.674866,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3795220.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,8723240,2026-05-28 13:08:38.152457,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3795221.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,8120510,2026-05-28 13:08:39.349366,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3795506.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,8839514,2026-05-28 13:08:41.036871,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3802643.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,8034392,2026-05-28 13:08:40.740329,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3802665.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,7919051,2026-05-28 13:08:42.039592,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3802676.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,8288256,2026-05-28 13:08:42.594994,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3802683.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,8049229,2026-05-28 13:08:57.667817,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3802685.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,7956868,2026-05-28 13:08:43.711626,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3802690.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,8489466,2026-05-28 13:08:45.287765,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3802696.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,7856599,2026-05-28 13:08:46.709661,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3802699.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,7930864,2026-05-28 13:08:47.726335,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3802709.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,8242849,2026-05-28 13:08:48.911482,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3802752.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,8251228,2026-05-28 13:08:50.125064,NA
